"nome_imagem","descricao_imagem","autor","licenca","data_coleta","url_origem"
"anokolisa-1.png","estilo_pixel_art, cena em pixel art com fazenda, estufa, plantações, espantalhos, árvores e personagem agricultor.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1hZ2UvMTc1NTIyNS8yMDA4NDY3OS5wbmc=/794x1000/ti473u.png"
"anokolisa-2.png","estilo_pixel_art, cena em pixel art com cabana rural, rio, píer, horta cultivada e personagem agricultor.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1hZ2UvMTc1NTIyNS8yMDA4NDcwOS5wbmc=/794x1000/ucgBAx.png"
"anokolisa-3.png","estilo_pixel_art, cena em pixel art com taverna medieval, salão de refeições, cozinha, hóspedes e quartos.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1hZ2UvMTc1NTIyNS8yNzk3NjU1My5wbmc=/794x1000/C9MR%2FC.png"
"anokolisa-4.png","estilo_pixel_art, cena em pixel art com masmorra sombria, celas, grades, manchas de sangue e corredores subterrâneos.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1nLzE5ODgxOTIxLnBuZw==/original/yI9eK1.png"
"anokolisa-5.png","estilo_pixel_art, cena em pixel art com floresta montanhosa, trilhas, pinheiros, flores silvestres e entrada de mina.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1hZ2UvMTc1NTIyNS8yMDM1NjU3MS5wbmc=/794x1000/5XLsAN.png"
"anokolisa-6.png","estilo_pixel_art, cena em pixel art com floresta nevada, pinheiros, afloramentos rochosos e cristais de gelo.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1nLzIwMTc2NjI3LnBuZw==/original/QDHSsj.png"
"anokolisa-10.png","estilo_pixel_art, cena em pixel art com oficina de ferraria, bigornas, forjas, ferramentas e área artesanal ao ar livre.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1nLzE5OTM4MjA5LmdpZg==/original/Ogxo1u.gif"
"anokolisa-11.png","estilo_pixel_art, cena em pixel art com cabana de madeira, clareira florestal e personagem explorador.","Anokolisa","Gratuita","20/06/2026","https://img.itch.zone/aW1nLzIwMDI4NTY5LmdpZg==/original/aNwLIs.gif"
"limezu-1.png","estilo_pixel_art, cena em pixel art com interior residencial japonês, móveis tradicionais, decoração minimalista e personagem central.","Limezu","Gratuita P/ Uso Não Comercial","20/06/2026","https://img.itch.zone/aW1hZ2UvNjcxNzUxLzU5OTQ0NjAuZ2lm/original/o0Sf8r.gif"
"limezu-2.png","estilo_pixel_art, cena em pixel art com museu de paleontologia, fósseis, esqueletos pré-históricos e visitantes observando exposições.","Limezu","Gratuita P/ Uso Não Comercial","20/06/2026","https://img.itch.zone/aW1hZ2UvNjcxNzUxLzY1MzIwMzEuZ2lm/original/EunOc5.gif"
"limezu-3.png","estilo_pixel_art, cena em pixel art com museu, artefatos históricos, esculturas expostas e área de recepção.","Limezu","Gratuita P/ Uso Não Comercial","20/06/2026","https://img.itch.zone/aW1hZ2UvNjcxNzUxLzYzMTEwMzAuZ2lm/original/0H1MHO.gif"
"limezu-4.png","estilo_pixel_art, cena em pixel art com academia, equipamentos de musculação, sacos de treino e praticantes exercitando-se.","Limezu","Gratuita P/ Uso Não Comercial","20/06/2026","https://img.itch.zone/aW1hZ2UvNjcxNzUxLzY5NTE0NzcuZ2lm/original/BnU%2F85.gif"
"limezu-5.png","estilo_pixel_art, loja de roupas com clientes, manequins, prateleiras, acessórios, balcão de atendimento e provadores.","Limezu","Gratuita P/ Uso Não Comercial","20/06/2026","https://img.itch.zone/aW1hZ2UvNjcxNzUxLzYxNzYzNDguZ2lm/original/Va65B6.gif"
"jeff-1.png","estilo_pixel_art, plantação cercada com fileiras de milho maduro em terreno agrícola organizado.","Jeff","Gratuita P/ Uso Não Comercial","20/06/2026","https://img.itch.zone/aW1hZ2UvMTIyOTY3Ni8yNzcxMzAyMy5naWY=/original/rqFSrj.gif"
"ansimuz-1.png","estilo_pixel_art, mapa com três ilhas, fortaleza murada, montanhas, floresta densa, torre, caminhos e oceano.","Ansimuz","Gratuita","21/06/2026","https://img.itch.zone/aW1hZ2UvMjMyNjAwMC8xMzc3ODI4MC5wbmc=/original/2d3Yp%2F.png"
